scei;nom;etat;total_oral;total_points;moyenne_generale;rang_classe
109765;BRETON;6;;;;
91395;HERVE;6;;;;
33761;ROLLAND;6;;;;
103934;GUILLOU;6;;;;
110856;BOUTIN;6;;;;
41253;BERGER;6;;;;
1227;MARY;6;;;;
42129;GALLET;6;;;;
117027;SAUVAGE;6;;;;
37983;BARBE;6;;;;
52744;PINTO;6;;;;
34918;KLEIN;6;;;;
79097;MARTINS;6;;;;
101847;LEROUX;6;;;;
23534;WAGNER;6;;;;
46991;GALLET;6;;;;
37013;CHEVALIER;6;;;;
113161;ROBIN;6;;;;
98441;WEBER;6;;;;
21087;HAMON;6;;;;
61050;GALLET;6;;;;
23763;LECONTE;6;;;;
19360;MUNOZ;6;;;;
55011;PEREIRA;6;;;;
14383;MEUNIER;6;;;;
79807;LEFEVRE;6;;;;
19101;LAPORTE;6;;;;
18085;GUICHARD;6;;;;
71734;OLLIVIER;6;;;;
43785;OLIVIER;6;;;;
44519;CLERC;6;;;;
45022;ALLAIN;6;;;;
77529;PONS;6;;;;
119097;DESCAMPS;6;;;;
49827;MARTY;6;;;;
101748;MEYER;6;;;;
47993;DUMAS;6;;;;
102882;LEBRETON;6;;;;
83906;GUILLOU;6;;;;
114494;MACE;6;;;;
89258;RIOU;6;;;;
72073;ALLAIN;6;;;;
72441;DELATTRE;6;;;;
62077;OLIVIER;6;;;;
9165;LAMBERT;6;;;;
88493;MARTIN;6;;;;
107408;BAUDRY;6;;;;
30708;BRUNEL;6;;;;
116047;BARBIER;6;;;;
71063;FAIVRE;6;;;;
37975;FOUCHER;6;;;;
109073;MARTIN;6;;;;
37314;BERTHELOT;6;;;;
61213;MILLET;6;;;;
79138;GERARD;6;;;;
86392;POTTIER;6;;;;
59040;LECOQ;6;;;;
53220;DUVAL;6;;;;
50553;CLEMENT;6;;;;
47964;ROYER;6;;;;
41480;LECONTE;6;;;;
24242;JACQUOT;6;;;;
99435;RENAULT;6;;;;
57519;BESNARD;6;;;;
55822;PEREIRA;6;;;;
59153;WEBER;6;;;;
53603;HEBERT;6;;;;
8087;BOUVIER;6;;;;
96975;GOMES;6;;;;
39416;MEYER;6;;;;
57723;MEUNIER;6;;;;
9670;CAMUS;6;;;;
40254;BOUTIN;6;;;;
87664;ADAM;6;;;;
24932;PETIT;6;;;;
62797;WAGNER;6;;;;
61565;LEGENDRE;6;;;;
26028;MERCIER;6;;;;
37398;PARIS;6;;;;
21584;COUSIN;6;;;;
47675;OLIVIER;6;;;;
43488;COURTOIS;6;;;;
27156;GAILLARD;6;;;;
71223;GOSSELIN;6;;;;
110308;FRANCOIS;6;;;;
44836;PELLETIER;6;;;;
21372;DUPUIS;6;;;;
1316;LEVEQUE;6;;;;
47645;RODRIGUEZ;6;;;;
95016;COLAS;6;;;;
28429;MARTINEZ;6;;;;
114683;LECLERCQ;6;;;;
107088;ROY;6;;;;
59095;LEGRAND;6;;;;
38893;PELLETIER;6;;;;
25894;PHILIPPE;6;;;;
102642;DUPUIS;6;;;;
82229;BRUN;6;;;;
45784;COURTOIS;6;;;;
37136;CHARTIER;6;;;;
90121;GAUTIER;6;;;;
18249;PAUL;6;;;;
90913;AUGER;6;;;;
22300;MOREAU;6;;;;
111055;VIDAL;6;;;;
24023;BAUDRY;6;;;;
43289;GONZALEZ;6;;;;
79875;CARLIER;6;;;;
73140;PELLETIER;6;;;;
62789;LEROUX;6;;;;
80874;LAUNAY;6;;;;
62691;RENARD;6;;;;
